Title,Publication Number,Status,Country,File Year,Grant Year,Priority Year,Publication Year,Expiration Year,Ultimate Parent,Normalized Assignee,origin,fixed,floating,gravity-based,jacket,monopile,tripod,tripile,suction bucket,tlp,spar,semi-submersible,Region
Distributed generation drivetrain (dgd) controller for application to wind turbine and ocean current turbine generators,US20020014773,Expired,US,2001.0,2003.0,2000.0,2002.0,2003.0,"Platinum Equity, LLC","Clipper Windpower, LLC",True,False,False,False,False,False,False,False,False,False,False,False,North America
Single site wind turbine electrical power conversion into hydrogen and oxygen,US20020110522,Expired,US,2001.0,,2001.0,2002.0,2003.0,,,True,False,False,False,False,False,False,False,False,False,False,False,North America
Method of controlling electrical rotating machines connected to a common shaft,US20030057703,Expired,US,2002.0,2006.0,2001.0,2003.0,2006.0,"Platinum Equity, LLC","Clipper Windpower, LLC",True,False,False,False,False,False,False,False,False,False,False,False,North America
Winding fabrication method and apparatus for electric coils,US20030098380,Expired,US,2002.0,2004.0,2001.0,2003.0,2004.0,"Swcc Showa Holdings Co.,ltd.",Swcc Showa Cable Systems Co Lt,False,False,False,False,False,False,False,False,False,False,False,False,North America
Wind and wave energy plant,US20030145587,Expired,US,2002.0,2004.0,2000.0,2003.0,2004.0,Dana-farber Cancer Institute Inc.,"Dana-farber Cancer Institute, Inc.,massachusetts",False,False,False,False,False,False,False,False,False,False,False,False,North America
Method for operating offshore wind turbine plants based on the frequency of their towers,US20030151260,Expired,US,2003.0,2005.0,2000.0,2003.0,2005.0,Multibird Gmbh,"Multibrid Gmbh, 27572 Bremerhaven, De",False,True,False,False,False,False,False,False,False,False,False,False,North America
Offshore wind turbine,US20030168864,Expired,US,2003.0,2006.0,2002.0,2003.0,2006.0,The Aes Corporation,Ocean Wind Energy Systems,True,True,True,False,False,False,False,False,False,False,False,True,North America
Wind energy installation comprising a seawater or brackish water desalination plant,US20040050760,Expired,US,2003.0,2006.0,2001.0,2004.0,2006.0,Aerodyn Eng Gmbh,Aerodyn Engineering Gmbh,False,True,False,False,False,False,False,False,False,False,False,False,North America
Vortex shedding and drag force reduction,US20040051004,Expired,US,2003.0,2005.0,2000.0,2004.0,2005.0,Imperial College London Ltd.,Imperial College Of Science Technology & Medicin,False,True,False,False,False,False,False,False,False,False,False,False,North America
Wind farm,US20040056486,Expired,US,2003.0,2008.0,2000.0,2004.0,2008.0,Enercon Gmbh,Wobben Aloys,False,False,False,False,False,False,False,False,False,False,False,False,North America
Floating offshore wind power installation,US20040103655,Expired,US,2003.0,2005.0,2000.0,2004.0,2005.0,Lauritsen Anders,Lauritsen Anders,False,False,True,False,False,False,False,False,False,False,False,False,North America
Method and configuration for controlling a wind energy installation without a gearbox by electronically varying the speed,US20040119292,Expired,US,2003.0,,2001.0,2004.0,2004.0,Abb Ltd,Abb Research Ltd. Abb Research Ltd.,False,True,False,False,False,False,False,False,False,False,False,False,North America
System and method for material removal,US20040140272,Expired,US,2003.0,,2002.0,2004.0,2006.0,"Weston Solutions, Inc.","Weston Solutions, Inc.",True,False,False,False,False,False,False,False,False,False,False,False,North America
Floating vertical windmill aeration system,US20040141851,Expired,US,2003.0,,2002.0,2004.0,2007.0,,,True,False,False,False,False,False,False,False,False,False,False,False,North America
Offshore wind turbine and method for making same,US20040169376,Expired,US,2003.0,,2001.0,2004.0,2005.0,Eni S.p.a.,Saipem Sa,False,True,False,True,False,False,False,False,False,False,False,False,North America
Method of conversion of continuous medium flow energy and device for conversion of continuous medium flow energy,US20040240984,Expired,US,2004.0,2008.0,2001.0,2004.0,2008.0,"Inventors Network Gmbh, Germany","Inventors Network Gmbh, Germany",False,False,False,False,False,False,False,False,False,False,False,False,North America
